My Step Alliance, Based.....   [2020-09-28 22:30:08.550000]
Ernie, Cringe...   [2020-09-28 21:38:36.173000]
Ernie, Cringe.......   [2020-09-28 21:38:32.331000]
Armenium, Based!!!!!!   [2020-09-28 21:37:12.737000]
Ernie, Cringe......   [2020-09-28 21:37:05.452000]
Cringe, Based!   [2020-09-28 21:36:08.725000]
Cake, Based....   [2020-09-28 21:35:55.618000]
Egg, Based!!!!!!!   [2020-09-28 21:35:24.579000]
🇦🇲, Based!!!!   [2020-09-27 23:31:03.408000]
🇨🇴, Cringe!!!!!   [2020-09-27 23:30:50.183000]
Ernie, Cringe...   [2020-09-27 23:30:25.509000]
random_tng, Cringe.......   [2020-09-27 04:13:02.653000]
My Little Pony, Cringe.......   [2020-09-27 02:51:46.089000]
Sabaton, Cringe.....   [2020-09-27 02:51:40.831000]
consistency, Based!!!   [2020-09-30 01:11:15.371000]
kronk, Cringe!!!!!   [2020-09-30 01:09:53.637000]
krunk, Cringe....   [2020-09-30 01:09:42.442000]
jon bois, Cringe.....   [2020-09-30 01:09:18.963000]
potato knishes factory, Cringe...   [2020-09-30 01:09:09.539000]
17776, Based!!!!!!!   [2020-09-30 01:08:29.510000]
20020, Based.   [2020-09-30 01:08:25.437000]
pronouncing "pwnhammer" as "poonhammer", Cringe......   [2020-09-30 01:07:30.831000]
pokémon gaining a third type, Based!!!!!!!   [2020-09-29 21:49:07.622000]
bug/dragon type spider pokémon, Based!!!!!   [2020-09-29 21:48:44.638000]
kumoko, Based!!!!!!!   [2020-09-29 20:45:00.396000]
spider wars, Based..   [2020-09-29 20:41:00.424000]
donald trump being a Bard of Light, Cringe......   [2020-09-28 00:28:09.806000]
donald trump, Bard of Light, Cringe!!!!   [2020-09-28 00:27:52.788000]
police, Cringe.   [2020-09-27 22:00:44.989000]
odo, Cringe.......   [2020-09-27 22:00:33.776000]
shapeshifting, Based.   [2020-09-27 20:56:50.957000]
villain protagonists, Cringe!!!!!!!   [2020-09-27 20:44:55.861000]
cbt, Based!!!!!!!   [2020-09-27 17:27:37.946000]
admin commandss, Cringe!!!!!!   [2020-09-26 04:35:29.786000]
gorochu pop star, Based!!!   [2020-09-25 21:15:33.734000]
rat in Ph.D costume, Cringe....   [2020-09-25 21:14:53.816000]
gorochu, Ph.D, Based!!!!!!   [2020-09-25 21:13:53.246000]
gorochu libre, Cringe!!!!!!   [2020-09-25 21:13:23.856000]
belle cosplay gorochu, Cringe.......   [2020-09-25 21:13:03.685000]
rockstar cosplay gorochu, Cringe!!!!!!   [2020-09-25 21:09:52.589000]
cosplay gorochu, Based.......   [2020-09-25 21:08:59.623000]
rat being shiny, Based...   [2020-09-25 21:06:04.878000]
megas for regional variants, Based!!!!!   [2020-09-25 21:02:44.369000]
gigantamax mega gorochu, Cringe.......   [2020-09-25 21:01:59.786000]
mega gorochu, Based!   [2020-09-25 21:00:44.152000]
gigantamax alolan megas, Cringe..   [2020-09-25 21:00:20.042000]
gigantamax joltik, Cringe!!!!!!   [2020-09-25 20:59:55.604000]
gigantamax wailord, Cringe.......   [2020-09-25 20:59:39.061000]
Lord timothy dexter, Cringe!!!   [2020-09-25 20:58:05.255000]
steel-type magcargo, Based!!!!!!   [2020-09-25 20:54:54.601000]
strapping fish to arrows so they work underwater, Based!!   [2020-09-25 10:27:47.963000]
cactus, Cringe.....   [2020-09-25 10:27:32.625000]
pew pew laser gun go brrrr, Based!!!!!!   [2020-09-25 00:26:17.482000]
pokéfusion memes, Based!!!!   [2020-09-25 00:23:55.041000]
trans rights, Cringe!!!!!   [2020-09-25 00:11:37.115000]
johnsprite becoming a sprite^² by prototyping nanna, Based!!!!!!   [2020-09-25 00:10:14.266000]
johnsprite becoming a sprite^² by prototyping tavros, Cringe!!!!!!!   [2020-09-25 00:09:38.876000]
johnsprite becoming a sprite^² by prototyping jade, Cringe.....   [2020-09-25 00:09:01.820000]
johnsprite becoming a sprite^² in HS^², Based..   [2020-09-25 00:08:26.843000]
davepetasprite^² but it's the calsprite timeline, Cringe.......   [2020-09-25 00:07:29.203000]
the concept of a sprite^¹², Based!   [2020-09-25 00:04:26.385000]
davepetasprite^², Based!!   [2020-09-25 00:03:35.423000]
lord english, Cringe.....   [2020-09-25 00:03:02.607000]
CaNWC becoming a canon epilogue split, Cringe.   [2020-09-25 00:02:21.768000]
HS^² getting even more fucked up than it is already, Cringe......   [2020-09-25 00:01:36.939000]
jasprosesprite^² ♡ jade harley, Cringe!   [2020-09-24 23:58:31.777000]
cabbages, Based!!!!!!!   [2020-09-24 23:51:05.623000]
sam vimes, Based..   [2020-09-24 23:48:46.543000]
lovecraft, Cringe!   [2020-09-24 23:42:25.515000]
interpreting "eldritch" as "oblong", Based!!!!!!   [2020-09-24 23:41:21.479000]
shiße, Based..   [2020-09-24 23:40:22.899000]
auf wiedersehn, Cringe!!!!!!!   [2020-09-24 23:39:46.689000]
jasprosesprite^², Based!!!!!!!   [2020-09-24 23:38:42.755000]
the great gatsby, Cringe!!   [2020-09-24 23:38:05.446000]
bananas, Based!   [2020-09-24 23:37:13.522000]
baphomet, Cringe.....   [2020-09-24 23:37:02.469000]
dictatorships, Cringe!!!!!!!   [2020-09-24 23:36:44.323000]
macarron chacarron, Based....   [2020-09-24 23:35:11.944000]
aged urine and essential oils, Cringe.   [2020-09-24 23:32:55.726000]
chinese traditional "medicine", Based.....   [2020-09-24 23:31:51.688000]
homeopathy for homosexuality cures, Based......   [2020-09-24 23:31:41.905000]
homeopathy, Cringe!!!!!!!   [2020-09-24 23:31:18.962000]
pseudoscientific "medicine", Based.   [2020-09-24 23:29:17.246000]
weird al officially joining kfad, Based...   [2020-09-24 23:16:57.902000]
Michael Jackson being Weird Al's stand, Based!!!!!!   [2020-09-24 22:03:13.108000]
